"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34205","permite comprar un producto y muestra la confirmación del pedido","MOB-01 Compra completa @smoke @regression @p0","2026-09-09","passed","2026-09-09","","","",""
"","6018","ordena por precio ascendente","MOB-04 Ordenamiento @regression @p2","2026-09-09","passed","2026-09-09","","","",""
"","10535","un usuario válido inicia sesión correctamente @smoke","MOB-03 Login @regression @p1","2026-09-09","passed","2026-09-09","","","",""
"","8702","rechaza el login: password vacío","MOB-03 Login @regression @p1","2026-09-09","passed","2026-09-09","","","",""
"","","eliminar el único producto deja el carrito vacío","MOB-02 Carrito @regression @p1","2026-09-09","unknown","","","","",""
"","9231","rechaza el login: usuario bloqueado","MOB-03 Login @regression @p1","2026-09-09","passed","2026-09-09","","","",""
"","10929","rechaza el login: usuario vacío","MOB-03 Login @regression @p1","2026-09-09","passed","2026-09-09","","","",""
"","4981","ordena por precio descendente","MOB-04 Ordenamiento @regression @p2","2026-09-09","passed","2026-09-09","","","",""
"","9148","acepta credenciales arbitrarias @known-issue @p0 @security","MOB-03 Login @regression @p1","2026-09-09","passed","2026-09-09","","","",""
"","36656","el total refleja la cantidad seleccionada del producto","MOB-02 Carrito @regression @p1","2026-09-09","broken","2026-09-09","","","",""
"","5391","ordena por nombre ascendente","MOB-04 Ordenamiento @regression @p2","2026-09-09","passed","2026-09-09","","","",""
